service_level,approach,seio_total_ss,meio_total_ss,seio_total_cost,meio_total_cost,coordination_value_pct,coordination_value_abs
0.9,Classical,12837786.606645156,5599415.537482617,229353.00581745664,95653.02108478402,58.29441138394549,133699.98473267263
0.9,ML-Enhanced,8530486.267922916,3696466.6804124312,154254.97557696945,64179.95422162647,58.393592179720486,90075.02135534298
0.95,Classical,16472822.907902714,7184897.472042828,294294.61354892055,122737.30084592022,58.29441138394549,171557.31270300032
0.95,ML-Enhanced,10945904.766562555,4743126.122682098,197932.47646186798,82352.59336550353,58.393592179720486,115579.88309636444
0.98,Classical,20568497.418135058,8971294.472690558,367465.736309716,153253.74829028576,58.29441138394551,214211.98801943025
0.98,ML-Enhanced,13667409.355938895,5922420.094826156,247144.8672660649,102828.10138160746,58.393592179720486,144316.76588445745
0.99,Classical,23292271.1755512,10159313.993903719,416127.21648315457,173548.30502590298,58.2944113839455,242578.91145725158
0.99,ML-Enhanced,15477309.718555927,6706693.836692134,279872.9120062644,116445.06514781837,58.393592179720486,163427.84685844602
