approach,echelon,echelon_type,n_nodes,total_safety_stock,pct_safety_stock,total_holding_cost,pct_holding_cost,avg_tau
Classical,1,dc,3,949688.921877529,13.217849323151318,4748.444609387645,3.8687868941721826,2.0
Classical,2,warehouse,3,671531.4766773422,9.346430889102313,6715.314766773421,5.4712908956695845,1.0
Classical,3,store_dept,448,5563677.073487958,77.43571978774638,111273.54146975915,90.65992221015823,1.0
ML-Enhanced,1,dc,3,566802.1681041203,11.94997040862178,2834.0108405206015,3.4413134118830713,2.0
ML-Enhanced,2,warehouse,3,400789.65665766096,8.449905110915038,4007.8965665766095,4.866752099461468,1.0
ML-Enhanced,3,store_dept,448,3775534.2979203165,79.60012448046318,75510.68595840633,91.69193448865548,1.0
