Store,Dept,mu_demand,sigma_historical,mu_forecast,sigma_residual,n_oof_samples,sigma_reduction_pct,model
1,2,46198.28277310925,3599.618688681478,46457.674141078576,2687.5058236077025,79,25.339152392496267,LightGBM
1,8,35500.78058823529,2445.8619434587476,36540.761347032036,2260.7064598268653,79,7.570152686952147,LightGBM
1,13,38630.1687394958,2522.4856376761186,39020.7944168809,2427.368795951025,79,3.7707585051989345,LightGBM
1,38,78910.35327731092,12095.506150142315,77512.18093274385,12095.506150142315,79,0.0,LightGBM
1,40,58206.31050420168,4312.366130019231,58188.803001671615,2847.958775925224,79,33.95832612402686,LightGBM
1,72,46915.56781512605,24302.016433877656,48497.20047575975,10506.08336367062,79,56.76867640898777,LightGBM
1,90,82560.94899159664,8427.659246418902,83590.36321060667,5328.219103383328,79,36.77699883692609,LightGBM
1,91,64426.45840336134,6147.907617183285,64601.27432551473,4847.977787018709,79,21.14426421326333,LightGBM
1,92,135323.5518487395,17223.05138810475,135819.17614228383,11936.469198600946,79,30.694805876007702,LightGBM
1,95,121067.63117647059,10321.472404849907,118527.07808811538,9196.20452122592,79,10.902203091636808,LightGBM
2,2,65859.36487394958,5087.603401757657,64853.58100795818,3840.362236938494,79,24.515298586133273,LightGBM
2,8,58272.883697478996,3755.663576728374,57726.024710436956,2478.797712356602,79,33.99840902374096,LightGBM
2,13,45804.24596638655,2953.048662485483,44972.1748702114,1921.263612672083,79,34.93965619059528,LightGBM
2,38,84531.25714285714,9737.308249893094,82951.249238334,9137.879582431622,79,6.155999708318294,LightGBM
2,40,77527.2725210084,5176.110337301781,75827.93819413873,4243.1634822638525,79,18.024091339680716,LightGBM
2,72,73277.11957983194,36672.80254076826,72568.67850489049,15533.19569956638,79,57.643826968777454,LightGBM
2,90,97330.75739495797,9255.774447136242,95788.16861934023,5783.98371139426,79,37.50945699434326,LightGBM
2,91,80270.69983193277,5518.932276402009,78537.22832236468,4684.823157482745,79,15.113595839647619,LightGBM
2,92,164150.21495798317,20818.83977681733,160811.21920644958,12643.060529677414,79,39.271060898619325,LightGBM
2,95,143430.09638655462,10708.870371096667,138231.92324765553,7856.114675472312,79,26.63918412276207,LightGBM
3,2,16775.760168067227,2024.598090633862,19005.01161567668,2024.598090633862,79,0.0,LightGBM
3,8,8274.70168067227,742.8235066654648,10241.591300192362,742.8235066654648,79,0.0,LightGBM
3,13,11313.179915966386,1040.4412539516927,13000.581036933056,1040.4412539516927,79,0.0,LightGBM
3,38,108615.24445378152,17209.470151967605,101788.44653829651,14939.72025617141,79,13.188958612631597,LightGBM
3,40,18043.353361344536,2057.5283850118035,19962.970801898875,2057.5283850118035,79,0.0,LightGBM
3,72,22616.067731092437,11847.294935936006,26343.68029343962,6170.459835413431,79,47.91671964967479,LightGBM
3,90,1533.2423529411765,285.57184155538187,4077.5366132383147,285.57184155538187,79,0.0,LightGBM
3,91,311.09512605042016,145.79674597555407,2818.5460269887412,145.79674597555407,79,0.0,LightGBM
3,92,7534.1236134453775,1373.3126967255778,9845.434401279095,1373.3126967255778,79,0.0,LightGBM
3,95,15727.095294117647,3071.8438950516024,17891.56351767753,3071.8438950516024,79,0.0,LightGBM
4,2,94176.43588235293,7925.592899497294,95716.25430487351,6516.913830214251,79,17.77380048592191,LightGBM
4,8,62929.30285714286,3493.9750433216423,62507.13960604818,2938.4396086247298,79,15.899811183790757,LightGBM
4,13,69174.80848739496,4405.642467733585,69570.87150056727,4145.737741457823,79,5.899360381131114,LightGBM
4,38,80515.73537815126,7833.517764137147,81138.13196662966,7320.795420051704,79,6.545237523207669,LightGBM
4,40,78399.10924369747,5483.462804604692,78672.67643620586,4483.991679416903,79,18.227006561410274,LightGBM
4,72,102107.86176470589,50963.09781044771,100884.43457827509,19082.815305201824,79,62.55562137101928,LightGBM
4,90,89231.1405882353,9247.602082066169,91286.97947392767,5817.819193394058,79,37.08834850629519,LightGBM
4,91,66056.95722689075,5553.671403460672,66776.28514999214,4612.497818758089,79,16.946872011838998,LightGBM
4,92,159117.44529411764,19939.072940163536,158675.32623690236,13492.286391315312,79,32.33242873525166,LightGBM
4,95,147772.53957983194,14841.812695205339,147585.789276553,9688.503280211742,79,34.72156346952403,LightGBM
5,2,12372.755966386554,946.4012441351397,14133.144414887074,946.4012441351397,79,0.0,LightGBM
5,8,13654.19050420168,963.1631629959102,15416.850680151874,963.1631629959102,79,0.0,LightGBM
5,13,11243.43579831933,719.2468700997588,12888.273319034442,719.2468700997588,79,0.0,LightGBM
5,38,55247.93991596638,8226.947685780566,56198.091492619234,8226.947685780566,79,0.0,LightGBM
5,40,19178.145714285714,1635.4029035371009,20599.435715350584,1635.4029035371009,79,0.0,LightGBM
5,72,11867.228907563025,11299.232536840706,13500.531465275702,7358.718306637392,79,34.87417589960577,LightGBM
5,90,3119.0499159663864,420.3347442046465,5341.356953954584,420.3347442046465,79,0.0,LightGBM
5,91,1533.8246218487395,246.66444802945932,3885.0857327734047,246.66444802945932,79,0.0,LightGBM
5,92,7808.060336134454,1041.0978550915172,9933.802728032622,1041.0978550915172,79,0.0,LightGBM
5,95,19496.96294117647,2043.2860711348783,21030.659189307433,2043.2860711348783,79,0.0,LightGBM
6,2,50391.806806722685,5624.417985926648,50240.87749568749,3586.8945691414247,79,36.22638683475322,LightGBM
6,8,47703.40310924369,3695.138216270389,48137.42219663003,2530.522028205382,79,31.517527082937868,LightGBM
6,13,37671.083949579835,2785.372833451423,37514.8657424813,2524.7293978912185,79,9.357578002842626,LightGBM
6,38,77184.35899159664,9285.79181424835,75241.71699461939,7696.298980058395,79,17.117472219773422,LightGBM
6,40,65638.9712605042,4314.715185178046,66459.96257998775,2955.2689963822295,79,31.507205700756337,LightGBM
6,72,81294.72336134454,39185.93602534719,77605.3020187677,21500.927687356903,79,45.13100906037014,LightGBM
6,90,53832.47294117647,5809.9572551005485,54556.882432830615,3919.550463125,79,32.53736144643688,LightGBM
6,91,45307.94546218487,3092.4299978810327,45587.45898746338,2726.773951549634,79,11.824230349011945,LightGBM
6,92,98912.983697479,13151.194297775279,97434.11462872228,7620.9352315091755,79,42.0513828709962,LightGBM
6,95,89168.65546218488,11315.3107400223,87384.82750539048,7168.341793486035,79,36.64918305662096,LightGBM
7,2,22673.74983193277,4138.425558386925,24238.64981027802,3977.098089978871,79,3.898281269820314,LightGBM
7,8,13801.217142857144,1287.3138683018515,15519.837981166474,1287.3138683018515,79,0.0,LightGBM
7,13,14968.357815126052,2115.73638609573,16600.11682487556,2115.73638609573,79,0.0,LightGBM
7,38,31266.14445378151,4397.583348931103,32867.85314580239,4397.583348931103,79,0.0,LightGBM
7,40,31436.623529411765,6426.632795344775,33611.7379930796,4599.15410418768,79,28.436021620542196,LightGBM
7,72,46399.48588235294,25441.58264692261,46178.01942467123,13708.017834726608,79,46.11963404570384,LightGBM
7,90,14331.27100840336,4758.496773842394,17283.326562040842,4084.0938578030145,79,14.172604250707776,LightGBM
7,91,10823.499579831932,3453.152639840581,13527.774008311066,3453.152639840581,79,0.0,LightGBM
7,92,26932.233445378148,5788.211429011823,28900.718957067114,4103.4174033075815,79,29.107333869313646,LightGBM
7,95,34726.21663865546,8290.230712267861,37174.72691291493,6133.583547997002,79,26.01432021764435,LightGBM
8,2,35768.36218487395,2790.4659787746164,36517.061526479025,2790.4659787746164,79,0.0,LightGBM
8,8,26220.213613445376,1778.8884192019295,27390.835786806816,1778.8884192019295,79,0.0,LightGBM
8,13,25131.97714285714,1411.8992057509793,26070.236404774576,1411.8992057509793,79,0.0,LightGBM
8,38,59029.41378151261,7767.415666947779,59977.76991742518,6316.497688576049,79,18.679545946610464,LightGBM
8,40,37691.67394957983,3388.9634797723775,37981.42407423865,2254.1744367353194,79,33.48484130355034,LightGBM
8,72,36828.007647058825,19666.309758290743,39209.66900370748,8483.208041445372,79,56.86426103469107,LightGBM
8,90,39267.127983193284,3676.3837266885284,40797.454216601865,2261.1698334393636,79,38.49472738592243,LightGBM
8,91,31352.773781512606,2849.861096530606,32635.67212812,2849.861096530606,79,0.0,LightGBM
8,92,60115.44462184874,7938.939632143471,59952.526788385316,4251.640989209139,79,46.4457322235461,LightGBM
8,95,62931.179159663865,4689.125702187949,63156.57952474029,2885.046980398387,79,38.47366942941576,LightGBM
9,2,25068.466890756303,2285.2291543058427,26613.587067244327,2285.2291543058427,79,0.0,LightGBM
9,8,21267.620588235295,1673.3965983314504,22889.738377075795,1673.3965983314504,79,0.0,LightGBM
9,13,22020.463109243698,1371.1136730124188,23145.26838326184,1371.1136730124188,79,0.0,LightGBM
9,38,79202.03033613446,8747.96715294531,78486.76768132846,8747.96715294531,79,0.0,LightGBM
9,40,29031.793613445378,2176.9535848203673,30140.654417331112,2176.9535848203673,79,0.0,LightGBM
9,72,32485.926470588234,16577.669089657087,37528.1647973041,10088.547457087452,79,39.14375173900798,LightGBM
9,90,3008.4399159663863,451.4740364299284,5347.197145484537,451.4740364299284,79,0.0,LightGBM
9,91,890.8701680672269,286.40844714599746,3186.8514482582964,286.40844714599746,79,0.0,LightGBM
9,92,14028.474117647058,2896.3797334926808,16666.852614588468,2896.3797334926808,79,0.0,LightGBM
9,95,29575.38394957983,5220.868341111859,31575.812137477576,3203.647334573139,79,38.63765325499712,LightGBM
10,2,109714.49546218489,8013.427771977461,105381.97519278196,8013.427771977461,79,0.0,LightGBM
10,8,86443.48512605042,4116.712917426543,84053.98903190771,4116.712917426543,79,0.0,LightGBM
10,13,62386.34924369748,3898.6449936195577,61358.92838384152,3253.33669651554,79,16.55211741926017,LightGBM
10,38,88432.06647058824,12310.800135366311,89470.68837021255,9949.73264852125,79,19.178830464985097,LightGBM
10,40,99092.97974789915,6596.674087465962,97339.59101242556,6596.674087465962,79,0.0,LightGBM
10,72,144164.81831932772,80228.68578391,133377.54493994277,48546.93688174083,79,39.48930309976858,LightGBM
10,90,14145.113865546218,1132.152825075883,15897.768834045113,1132.152825075883,79,0.0,LightGBM
10,91,12709.825042016806,850.1358646958491,14408.598221664412,850.1358646958491,79,0.0,LightGBM
10,92,50257.71907563025,4165.273083244769,50952.536530331025,2507.6462334356047,79,39.79635468505379,LightGBM
10,95,73388.6431092437,8022.1993364202,71230.23100684812,4574.3110152579275,79,42.97933991130226,LightGBM
11,2,57180.229663865546,4840.567870352933,57889.39316294886,4020.456299787686,79,16.942466101719,LightGBM
11,8,34358.46302521008,2710.5629260532146,35695.573407355245,2397.649882067282,79,11.544208805421752,LightGBM
11,13,40961.66747899159,2781.6752375015267,41425.75025425845,2401.34995487507,79,13.672526450933253,LightGBM
11,38,73377.02613445377,8232.391367279997,71458.97322249241,8232.391367279997,79,0.0,LightGBM
11,40,53276.74226890756,3590.021627570806,53874.29864276263,2255.8575455097753,79,37.16312101896152,LightGBM
