service_level,approach,target_fill_rate,normal_fill_rate,normal_mean_node_fr,normal_min_node_fr,normal_p5_node_fr,lognormal_fill_rate,lognormal_mean_node_fr
0.9,Classical,0.9,0.9000605297046703,0.9000605297046703,0.8989211538461539,0.8993613461538462,0.8972389466002747,0.8972389466002747
0.9,ML-Enhanced,0.9,0.9000605297046703,0.9000605297046703,0.8989211538461539,0.8993613461538462,0.8967803786057692,0.8967803786057692
0.95,Classical,0.95,0.950011040521978,0.9500110405219779,0.9491576923076923,0.9495270192307692,0.9417409898695055,0.9417409898695056
0.95,ML-Enhanced,0.95,0.950011040521978,0.9500110405219779,0.9491576923076923,0.9495270192307692,0.9425855425824176,0.9425855425824176
0.98,Classical,0.98,0.9800087225274725,0.9800087225274725,0.979376923076923,0.9796775961538462,0.9709188143887363,0.9709188143887363
0.98,ML-Enhanced,0.98,0.9800087225274725,0.9800087225274725,0.979376923076923,0.9796775961538462,0.9723121480082417,0.9723121480082417
0.99,Classical,0.99,0.9899892513736264,0.9899892513736264,0.9895903846153846,0.98975,0.9821057305975275,0.9821057305975275
0.99,ML-Enhanced,0.99,0.9899892513736264,0.9899892513736264,0.9895903846153846,0.98975,0.9835140496222528,0.9835140496222528
